id;location_id;address;postal_code;city;state;country
1;53222;cross-platform;networks;O'Keefemouth;Ouguiya;Antigua and Barbuda
2;16542;schemas Soft;green installation;Portland;generating Frozen auxiliary;Macedonia
3;27896;Gold harness;neural;Huntington Park;Bike Representative;Barbados
4;12080;stable Outdoors;pink;Port Savannahstad;Diverse;Northern Mariana Islands
5;69872;up Licensed Forward;Accounts Venezuela Plastic;Lake Saigeside;open-source e-services;Swaziland
6;52820;Exclusive cutting-edge;compelling Beauty;Easterton;Principal mobile;Senegal
7;43948;Martinique deposit alarm;fuchsia Leu;Morissettetown;Movies Stream vertical;Republic of Korea
8;39488;Forward;connect Toys Assurance;East Colemanland;blockchains;Puerto Rico
9;9056;blue drive copying;payment;Luzstad;Fresh Market;Mayotte
10;11295;utilisation Gardens;Division viral Investment;Maple Grove;Director withdrawal compressing;Greenland
