id;places_name;places_id;places_desc;places_current_status;place_special_attraction;place_visit_price
1;Mexico synergize;72938;Expanded Factors Analyst;copy Plastic;programming seamless;44037
2;withdrawal Chair;45864;Soft;fresh-thinking Agent;administration relationships;7382
3;navigate Dynamic Agent;27262;Guinea-Bissau systematic;withdrawal;frame Producer;1444
4;Lithuanian panel;32696;human-resource e-tailers;deposit white;Personal;56237
5;Games Stravenue;64037;Pakistan Grocery transmit;withdrawal hack;methodology;1107
6;Avon;47903;Quetzal RAM;Beauty ivory XSS;analyzer Awesome;25270
7;Regional Branding;67385;Dinar Idaho technologies;dot-com;Baby Computers Belgium;58015
8;Congo Berkshire;6451;Granite JSON;Generic Global;Hampshire;59024
9;optimizing National;71353;Security;Concrete Concrete transmitting;parsing;15058
10;calculating Colorado;8600;systems wireless North;Riyal Street violet;navigate Incredible;17120
